id,Context_Relevance_Score,Faithfulness_Score,Answer_Relevance_Score,Domain_Accuracy_%,Predicted_Tags,True_Tags
120,2,2,4,0.0,"{'VERIFIABILITY': 1, 'ATOMICITY': 0, 'AMBIGUITY': 1, 'COMPLETENESS': 0, 'TRACEABLE': 0}","{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 2, 'COMPLETENESS': 1, 'TRACEABLE': 1}"
329,2,2,5,60.0,"{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 1, 'COMPLETENESS': 1, 'TRACEABLE': 1}","{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 2, 'COMPLETENESS': 1, 'TRACEABLE': 2}"
39,2,2,5,60.0,"{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 1, 'COMPLETENESS': 1, 'TRACEABLE': 1}","{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 2, 'COMPLETENESS': 2, 'TRACEABLE': 1}"
294,2,2,5,60.0,"{'VERIFIABILITY': 0, 'ATOMICITY': 0, 'AMBIGUITY': 1, 'COMPLETENESS': 1, 'TRACEABLE': 1}","{'VERIFIABILITY': 0, 'ATOMICITY': 1, 'AMBIGUITY': 1, 'COMPLETENESS': 0, 'TRACEABLE': 1}"
654,2,1,5,80.0,"{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 2, 'COMPLETENESS': 1, 'TRACEABLE': 1}","{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 2, 'COMPLETENESS': 1, 'TRACEABLE': 2}"
436,1,2,5,60.0,"{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 2, 'COMPLETENESS': 1, 'TRACEABLE': 1}","{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 2, 'COMPLETENESS': 2, 'TRACEABLE': 0}"
65,2,2,5,20.0,"{'VERIFIABILITY': 1, 'ATOMICITY': 2, 'AMBIGUITY': 1, 'COMPLETENESS': 1, 'TRACEABLE': 0}","{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 2, 'COMPLETENESS': 2, 'TRACEABLE': 2}"
617,2,2,5,60.0,"{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 2, 'COMPLETENESS': 1, 'TRACEABLE': 1}","{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 1, 'COMPLETENESS': 1, 'TRACEABLE': 2}"
78,4,2,5,80.0,"{'VERIFIABILITY': 1, 'ATOMICITY': 2, 'AMBIGUITY': 1, 'COMPLETENESS': 1, 'TRACEABLE': 1}","{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 1, 'COMPLETENESS': 1, 'TRACEABLE': 1}"
652,3,3,5,20.0,"{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 2, 'COMPLETENESS': 2, 'TRACEABLE': 1}","{'VERIFIABILITY': 1, 'ATOMICITY': 2, 'AMBIGUITY': 0, 'COMPLETENESS': 0, 'TRACEABLE': 2}"
622,4,3,5,20.0,"{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 2, 'COMPLETENESS': 2, 'TRACEABLE': 1}","{'VERIFIABILITY': 2, 'ATOMICITY': 0, 'AMBIGUITY': 1, 'COMPLETENESS': 1, 'TRACEABLE': 2}"
97,4,3,5,60.0,"{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 2, 'COMPLETENESS': 2, 'TRACEABLE': 1}","{'VERIFIABILITY': 2, 'ATOMICITY': 1, 'AMBIGUITY': 1, 'COMPLETENESS': 2, 'TRACEABLE': 1}"
547,2,3,5,60.0,"{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 1, 'COMPLETENESS': 2, 'TRACEABLE': 1}","{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 1, 'COMPLETENESS': 1, 'TRACEABLE': 2}"
84,3,4,5,100.0,"{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 2, 'COMPLETENESS': 2, 'TRACEABLE': 1}","{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 2, 'COMPLETENESS': 2, 'TRACEABLE': 1}"
